Last Name,Nationality,Date of Birth,Team,Total Goals,Shots Created per 90 Minutes,Assists
Owen,England,10/04/1997,Chelsea,22,4.76,8
Rangel,England,30/03/2005,Manchester United,22,2.34,15
Murray,Spain,19/07/2006,Aston Villa,22,3.94,14
Brown,Portugal,24/07/2001,Manchester City,22,1.46,8
Sullivan,Netherlands,13/01/2005,Newcastle United,22,2.91,15
Miller,France,14/02/1999,Chelsea,22,1.1,3
Franklin,England,02/08/1991,Chelsea,22,3.49,9
Cabrera,Germany,30/06/1996,Manchester United,22,1.46,10
Anderson,Brazil,21/08/1987,Liverpool,22,1.34,3
Williams,England,05/09/1985,Tottenham Hotspur,22,1.02,10
Brown,Denmark,01/12/1996,Tottenham Hotspur,22,4.64,2
Newton,England,03/11/2005,Newcastle United,22,2.42,12
Jones,Brazil,18/10/1995,Newcastle United,22,2.06,1
Reyes,Sweden,28/05/2002,Leeds United,22,1.18,11
Flores,Sweden,12/04/1984,West Ham United,22,2.41,1
Sanchez,Uruguay,30/06/1998,Liverpool,22,3.58,4
Stevens,Sweden,07/01/1986,Manchester United,22,0.92,13
Cole,Germany,22/11/1989,West Ham United,22,1.22,15
Reynolds,England,22/10/1993,Leeds United,22,4.96,3
Bridges,Denmark,06/01/2002,Liverpool,22,1.97,14
Smith,Argentina,10/11/2002,Arsenal,22,4.46,14
Davis,Germany,15/02/2003,Leicester City,22,0.52,12
Edwards,Denmark,29/05/1992,Manchester United,22,2.02,12
Little,Scotland,08/03/1991,Leicester City,22,0.98,15
Pope,England,26/02/2004,Manchester United,22,4.95,13
Marshall,England,22/10/1992,Aston Villa,22,4.55,10
Dougherty,France,24/04/1991,Leeds United,22,2.19,1
Bailey,Scotland,12/07/1994,Manchester City,22,4.22,14
Thomas,Argentina,16/09/1992,Aston Villa,22,4.24,1
Shannon,Denmark,03/12/2002,Newcastle United,22,3.04,14
Lawrence,Portugal,19/01/2003,Liverpool,22,4.62,15
Boyer,France,05/01/2003,Newcastle United,22,2.76,8
Johnson,Uruguay,14/08/1997,Everton,22,3.94,8
Parker,Argentina,12/10/2003,Arsenal,22,3.51,10
Rodriguez,Sweden,20/10/1995,West Ham United,22,2.36,1
Campbell,France,10/06/1998,Liverpool,22,4.38,5
Martin,Argentina,15/06/1988,Everton,22,3.79,7
Elliott,Portugal,20/03/1999,Chelsea,22,2.44,9
Ferrell,Germany,28/01/1992,Tottenham Hotspur,22,0.59,6
Johnson,England,17/08/2004,Arsenal,22,4.31,13
Cameron,Belgium,08/03/1996,Everton,22,1.26,7
Dickerson,Belgium,12/11/1984,Leeds United,22,2.02,14
Jones,England,26/03/1996,Everton,22,0.63,10
Clark,Uruguay,16/06/1986,Leicester City,22,3.77,14
Glover,Denmark,21/03/1986,Newcastle United,22,4.38,15
Vargas,Argentina,14/03/1997,Everton,22,4.46,7
Martinez,Denmark,29/09/2000,Liverpool,22,1.05,10
Suarez,Scotland,22/03/2000,West Ham United,22,3.21,5
Smith,England,12/01/2004,Leicester City,22,1.1,5
Kim,Brazil,24/11/1992,Tottenham Hotspur,22,4.14,5
Weaver,Spain,03/10/1998,Newcastle United,22,4.2,10
Smith,Sweden,17/12/1984,Liverpool,22,2.08,0
Mckee,England,08/07/1985,Everton,22,3.41,7
Schultz,England,21/09/2002,Manchester City,22,3.54,15
Frey,Scotland,05/03/1994,Leicester City,22,2.55,6
Weaver,Scotland,23/10/1998,Everton,22,3.49,10
Mccoy,Belgium,13/11/1998,Leicester City,22,2.45,11
Cox,Scotland,06/08/2004,Leicester City,22,2.43,13
Dixon,Uruguay,27/12/1998,Chelsea,22,2.31,15
Rivera,Italy,21/12/1996,Manchester United,22,4.27,15
Roberts,France,20/03/1984,Everton,22,2.71,9
Martin,Uruguay,02/01/2007,Arsenal,22,4.63,1
Shaffer,Denmark,22/10/2004,Arsenal,22,2.84,6
Clark,Sweden,21/11/2000,Arsenal,22,3.2,3
Mcdonald,Italy,29/02/1984,Newcastle United,22,0.91,7
Munoz,Uruguay,01/03/1984,Everton,22,2.19,8
Taylor,Portugal,31/08/1987,Newcastle United,22,2.32,8
Shelton,Denmark,14/09/1986,Leicester City,22,0.68,10
Chen,Sweden,17/10/1989,Tottenham Hotspur,22,0.91,0
Alvarez,Germany,03/12/2005,Liverpool,22,1.41,12
Brown,Scotland,05/07/1998,Chelsea,22,4.92,7
Palmer,Uruguay,14/08/1997,Tottenham Hotspur,22,3.92,10
Mcgee,Portugal,03/07/2006,Newcastle United,22,3.71,7
Miller,Denmark,29/07/2006,Everton,22,3.94,0
Warren,Brazil,04/03/1999,West Ham United,22,3.68,8
Walsh,Argentina,09/03/1990,Leeds United,22,0.98,7
Davis,Netherlands,23/11/1991,Chelsea,22,4.32,14
Stewart,Argentina,10/07/1990,Newcastle United,22,1.35,6
Palmer,Netherlands,07/03/1994,Chelsea,22,2.85,9
Price,Spain,13/01/1993,Everton,22,2.96,1
Salazar,Argentina,05/07/1995,Leicester City,22,4.17,10
Salinas,Italy,01/11/1994,Leicester City,22,3.93,3
Howard,Denmark,16/01/2004,Arsenal,22,0.88,5
Robertson,England,04/04/2002,West Ham United,22,2.28,1
Jenkins,Belgium,11/06/1988,West Ham United,22,3.76,4
Ross,Italy,19/06/1991,Manchester United,22,1.86,3
Pierce,Denmark,20/06/1988,Chelsea,22,2.57,6
Beltran,Belgium,09/10/2002,Liverpool,22,2.4,6
Gilbert,England,15/05/1999,Chelsea,22,3.94,2
Gutierrez,Belgium,20/02/1996,West Ham United,22,2.83,6
Smith,France,15/10/1994,Leicester City,22,4.29,13
Stephens,Sweden,15/01/1987,Manchester United,22,1.68,4
Johnson,Brazil,22/08/1988,Leeds United,22,1.62,4
Warner,Spain,22/07/1988,Chelsea,22,2.74,10
Chambers,Germany,21/08/1985,Arsenal,22,3.44,4
Jimenez,Argentina,24/05/1990,Manchester United,22,1.73,2
Schaefer,Netherlands,18/06/1992,West Ham United,22,2.16,4
Lynch,Portugal,28/05/1984,Manchester United,22,1.3,11
Fleming,Uruguay,24/12/1986,West Ham United,22,1.3,6
Rhodes,Italy,07/09/2003,Manchester City,22,0.88,8
Harmon,Scotland,23/02/1990,Newcastle United,22,1.12,1
Mitchell,France,22/09/1997,Tottenham Hotspur,22,3.5,12
Thompson,Italy,08/03/2005,Newcastle United,22,1.38,2
White,Germany,18/12/1997,Aston Villa,22,2.71,11
Mcmillan,Italy,03/10/1996,Leicester City,22,2.83,9
Scott,Portugal,27/01/1996,Leicester City,22,3.72,8
Gonzales,Portugal,30/07/1992,Liverpool,22,0.93,15
Mcclain,Netherlands,09/02/2007,Manchester City,22,3.24,5
Jones,Scotland,25/05/2006,Manchester City,22,1.73,12
Carr,Netherlands,09/08/1985,Arsenal,22,4.33,1
Brooks,Scotland,02/12/1986,Arsenal,22,2.23,0
Gonzalez,Spain,08/05/1995,Newcastle United,22,3.55,13
Reyes,France,15/11/1985,Manchester City,22,0.81,0
Garcia,Argentina,05/10/1985,Leicester City,22,1.63,4
Bailey,Sweden,11/07/2005,Manchester City,22,1.55,11
Farmer,Denmark,15/05/2004,Liverpool,22,1.59,9
Hull,Scotland,30/10/2002,Leeds United,22,2.16,7
Myers,Germany,20/07/2001,Liverpool,22,1.08,11
Lynch,Portugal,13/02/1997,Everton,22,1.24,3
Newman,Sweden,08/10/2003,West Ham United,22,4.34,6
Flores,England,23/11/1997,Manchester United,22,2.49,11
Smith,Portugal,27/04/1998,Chelsea,22,1.36,10
Barry,Spain,17/12/2005,Leeds United,22,2.03,0
Jones,Belgium,25/10/1992,Manchester City,22,1.86,15
Salazar,Netherlands,03/10/1995,Liverpool,22,4.88,8
Knight,Denmark,06/03/2003,Leicester City,22,4.27,6
Avery,Denmark,02/04/2004,West Ham United,22,4.47,1
Bennett,Spain,30/04/1984,Chelsea,22,3.1,5
Thomas,Germany,06/08/1985,Leicester City,22,4.58,5
Morse,Brazil,03/11/1994,Newcastle United,22,3.88,14
Cochran,Argentina,31/10/2003,Leicester City,22,2.77,0
Adams,Portugal,02/11/2005,Aston Villa,22,1.22,12
Phillips,Denmark,31/10/2000,Manchester United,22,0.69,11
Byrd,Argentina,11/08/2005,Manchester United,22,0.99,4
Adkins,Netherlands,10/11/1995,Chelsea,22,2.24,14
Campbell,Belgium,14/03/1985,Manchester United,22,4.85,6
King,Spain,12/04/1998,Leicester City,22,2.69,11
Navarro,Portugal,22/06/1993,West Ham United,22,0.64,15
Murphy,Netherlands,31/10/1990,Newcastle United,22,3.71,2
Johnson,Denmark,15/11/1986,Liverpool,22,4.27,3
Moyer,Spain,16/03/1993,Newcastle United,22,4.61,11
Morrison,Netherlands,15/06/1994,Everton,22,0.83,2
Chen,Portugal,23/01/1986,Tottenham Hotspur,22,3.1,15
Case,France,03/07/1993,Liverpool,22,1.8,11
Moore,Brazil,16/04/1984,Newcastle United,22,3.14,5
Parker,Brazil,06/06/1986,Leicester City,22,2.59,2
Turner,Brazil,04/09/1990,Aston Villa,22,3.11,11
Crawford,Brazil,20/02/2001,Newcastle United,22,2.19,5
Bond,Brazil,08/12/1984,Arsenal,22,4.85,1
Baker,Sweden,21/11/1993,Leicester City,22,2.69,12
Ochoa,Netherlands,10/08/2005,Newcastle United,22,4.97,7
Hernandez,Italy,10/04/1989,Leeds United,22,0.7,9
Wiggins,Scotland,29/07/1984,Leeds United,22,4.78,12
Brown,France,21/05/2006,Aston Villa,22,4.99,8
Jones,Argentina,07/06/1987,Tottenham Hotspur,22,1.74,6
Smith,Argentina,03/02/2002,Manchester City,22,3.18,2
Williams,Netherlands,03/04/1986,Manchester City,22,1.58,5
Wells,Portugal,18/04/1995,Liverpool,22,0.94,5
Davila,Belgium,14/10/2000,Liverpool,22,1.65,7
Davis,France,29/01/1994,Newcastle United,22,4.12,9
Johnson,Sweden,04/10/1998,Aston Villa,22,1.04,12
Lopez,Netherlands,03/09/1989,Leeds United,22,2.19,11
Murray,Scotland,30/12/1999,Arsenal,22,4.31,0
Curry,Germany,16/01/2006,Arsenal,22,2.42,1
Edwards,Belgium,11/07/1994,Liverpool,22,4.36,12
Walters,Denmark,04/03/1991,Manchester United,22,3.48,3
Cohen,Denmark,14/11/1997,Everton,22,0.77,9
Curry,Uruguay,27/08/1987,Tottenham Hotspur,22,1.01,6
Munoz,Denmark,05/06/1994,Tottenham Hotspur,22,1.62,0
Parker,Portugal,05/05/1997,Leeds United,22,4.98,9
Schwartz,France,28/09/1996,Aston Villa,22,3.21,14
Diaz,Uruguay,02/02/2004,Manchester City,22,4.57,5
Schroeder,Portugal,15/11/1985,Manchester United,22,1.69,13
Martinez,England,23/07/2002,Chelsea,22,4.25,13
Clarke,Spain,14/02/1997,Arsenal,22,3.28,5
Smith,France,03/08/1988,Arsenal,22,4.53,5
Carter,Argentina,08/09/2002,Chelsea,22,2.51,6
Church,Sweden,06/11/1987,Liverpool,22,2.7,2
Sullivan,England,06/03/1988,Everton,22,2.88,6
Russell,France,08/08/2004,Leeds United,22,3.49,4
Mendez,Germany,22/03/1999,Everton,22,2.13,9
Keller,Scotland,25/03/1994,Chelsea,22,3.6,12
Bradley,Germany,17/08/2004,Chelsea,22,2.32,6
Dickerson,Belgium,07/11/1989,West Ham United,22,2.55,15
Davis,Brazil,17/08/1990,West Ham United,22,2.53,15
Blair,Germany,31/03/2002,Aston Villa,22,0.5,5
Lucas,Uruguay,27/08/1994,Leicester City,22,3.86,3
Ford,Argentina,23/06/1998,West Ham United,22,1.78,11
Turner,Netherlands,30/10/1984,Leeds United,22,2.91,5
Odom,Netherlands,12/07/1996,Aston Villa,22,4.06,15
Martinez,Argentina,15/05/2004,Liverpool,22,4.19,14
Willis,Belgium,06/07/1994,Aston Villa,22,2.64,0
Shelton,Portugal,01/09/2006,Leicester City,22,4.75,3
Rose,Brazil,19/10/1986,Leeds United,22,2.23,8
Edwards,Germany,30/05/1989,Newcastle United,22,2.46,3
Collins,Portugal,17/07/1995,Liverpool,22,4.82,15
Taylor,Sweden,14/10/1993,Manchester United,22,1.34,7
Herrera,Germany,13/03/1985,Leeds United,22,2.54,15
Moreno,England,26/03/1990,Leeds United,22,0.7,15
Levine,Italy,15/03/2000,Aston Villa,22,1.14,5
Hamilton,England,08/10/1997,Newcastle United,22,0.8,7
Cox,Uruguay,05/05/2003,Leicester City,22,1.87,14
Campbell,Denmark,11/08/1991,West Ham United,22,2.31,8
Castro,Argentina,25/08/1993,Chelsea,22,2.81,0
Mendoza,Uruguay,17/05/1995,Chelsea,22,3.66,14
Johnson,Uruguay,09/06/1985,Newcastle United,22,1.16,12
Gonzalez,England,03/12/2003,Tottenham Hotspur,22,1.58,0
Salazar,Spain,05/12/2003,Tottenham Hotspur,22,2.76,2
Johnson,Germany,05/01/1995,Leicester City,22,3.82,0
Wright,Sweden,26/01/1995,Chelsea,22,4.83,15
Porter,Brazil,13/06/1988,West Ham United,22,3.32,1
Vargas,Denmark,16/12/1997,Aston Villa,22,1.07,15
Fritz,Denmark,16/12/1987,Leeds United,22,1.37,9
Mccarthy,Sweden,17/08/2005,Tottenham Hotspur,22,1.11,8
Jackson,Uruguay,25/12/2005,Aston Villa,22,1.6,2
Neal,England,23/07/2000,Manchester United,22,2.66,13
Thomas,Germany,26/07/2002,Aston Villa,22,3.12,12
Garcia,Brazil,25/05/1986,Leicester City,22,2.56,8
Villanueva,Netherlands,22/09/1984,Manchester United,22,3.14,5
Wilson,Italy,02/12/2003,Manchester City,22,1.85,7
Buck,Denmark,09/06/1990,Tottenham Hotspur,22,4.86,5
Murray,Belgium,16/11/1986,Everton,22,1.97,9
Lee,Argentina,28/02/1984,Leeds United,22,3.06,5
Mckay,Argentina,11/03/1986,Leicester City,22,3.8,7
Herrera,Argentina,20/01/2000,Tottenham Hotspur,22,1.97,7
Sanchez,Belgium,29/12/1989,Arsenal,22,3.47,14
Anderson,Spain,25/12/1985,Tottenham Hotspur,22,3.57,1
Nelson,England,17/08/2005,Tottenham Hotspur,22,1.74,4
Hayes,Portugal,29/01/2001,Chelsea,22,3.18,2
Brown,Germany,28/12/1994,Aston Villa,22,1.95,14
Payne,Italy,20/03/2003,Leicester City,22,3.83,15
Greene,Netherlands,03/02/1995,Leeds United,22,3.38,15
Foster,Argentina,08/06/1997,Chelsea,22,1.99,10
Shepard,Sweden,27/01/1987,Liverpool,22,3.85,10
Jones,France,22/10/2001,Arsenal,22,3.74,13
Stanton,Denmark,20/03/1997,Leicester City,22,3.39,15
Ware,France,27/02/2006,Manchester City,22,2.45,5
Cunningham,Sweden,25/03/2001,Manchester City,22,2.46,2
Smith,Germany,12/05/2003,Arsenal,22,1.88,7
Petersen,Uruguay,21/06/1995,Aston Villa,22,4.59,4
Lindsey,Netherlands,10/05/1985,Chelsea,22,2.19,6
Anderson,Italy,15/02/2005,Aston Villa,22,1.05,0
Bass,Italy,14/03/1990,Leicester City,22,2.18,13
Collier,Netherlands,06/12/1991,Manchester City,22,4.56,0
Mckinney,Italy,28/01/1992,West Ham United,22,4.47,6
White,Scotland,20/11/2003,Everton,22,0.92,2
Mcguire,Germany,20/08/2006,Chelsea,22,0.98,14
Stevens,Spain,06/01/1998,Manchester City,22,1.28,2
Flores,Argentina,15/01/1987,Arsenal,22,0.93,9
Hebert,Scotland,16/08/1993,Aston Villa,22,3.34,11
Sullivan,Sweden,19/06/2002,Aston Villa,22,3.22,0
Shaffer,Netherlands,10/12/1992,Everton,21,4.05,14
May,Germany,11/07/2002,Arsenal,21,2.6,9
Cannon,Portugal,10/10/2001,Everton,21,3.61,5
Rivers,Scotland,19/10/2006,Arsenal,21,2.59,1
Robinson,Sweden,15/02/2006,Aston Villa,21,4.27,5
Miller,Italy,13/02/1985,West Ham United,21,2.07,13
Brown,Netherlands,18/04/2006,Liverpool,21,2.26,14
Davis,Portugal,25/12/1989,West Ham United,21,1.44,3
Johnson,France,22/08/1993,Newcastle United,21,1.86,9
Mason,Scotland,26/08/1988,Everton,21,4.57,2
Neal,England,11/08/1985,Manchester City,21,4.43,5
Andrews,France,28/12/1989,Leeds United,21,2.14,4
Hines,Spain,15/04/1986,Newcastle United,21,0.74,10
Ramos,Germany,05/11/1994,Tottenham Hotspur,21,1.25,7
Bowers,Germany,15/05/1986,West Ham United,21,3.4,14
Gonzalez,Spain,12/01/1997,Tottenham Hotspur,21,1.77,12
Griffin,Scotland,16/03/1994,Liverpool,21,0.53,5
Wilson,Spain,28/05/2006,Aston Villa,21,4.02,11
Murray,Italy,17/03/1990,Leicester City,21,4.33,12
Bush,Germany,21/07/2001,West Ham United,21,3.97,4
Reynolds,Sweden,01/02/1992,Manchester City,21,1.18,8
French,Netherlands,20/03/1998,Manchester City,21,2.34,10
Stokes,Argentina,01/01/2007,Leicester City,21,1.34,9
Wong,Portugal,03/06/1997,Newcastle United,21,1.14,15
Smith,France,14/07/1992,Manchester City,21,3.3,4
Gibson,Germany,02/05/2003,Chelsea,21,1.25,4
Moreno,Germany,13/05/2006,Leeds United,21,1.17,10
Lutz,France,26/07/1986,Arsenal,21,2.25,4
Chase,Germany,06/11/2003,Manchester City,21,2.87,3
Byrd,Spain,27/08/1993,Leicester City,21,3.92,13
Johnson,Germany,31/01/1988,Tottenham Hotspur,21,3.27,10
Mejia,Netherlands,22/06/1999,Everton,21,3.96,3
Everett,Portugal,14/07/1991,Aston Villa,21,4.94,7
Harris,Denmark,28/06/1992,Leeds United,21,0.86,1
Stewart,Sweden,26/05/1988,Aston Villa,21,3.13,8
Carroll,Germany,24/05/1991,Leicester City,21,0.66,13
Edwards,Germany,09/08/1995,Newcastle United,21,1.12,5
Robbins,Germany,23/09/2005,Leeds United,21,4.04,9
Campbell,Sweden,15/03/2005,Aston Villa,21,3.36,12
Cabrera,England,02/03/2005,Chelsea,21,4.36,15
Hayes,Spain,21/01/1992,Leeds United,21,4.47,7
Sanchez,Sweden,30/11/1985,Liverpool,21,1.97,12
Bolton,Portugal,20/01/1992,Chelsea,21,3.44,12
Wright,Sweden,02/12/1994,Arsenal,21,2.43,3
Lewis,Netherlands,27/09/1999,Manchester City,21,2.26,13
Harris,Sweden,25/01/1993,Manchester City,21,4.18,8
Hall,Spain,25/04/1997,Leicester City,21,0.82,11
Hurley,Italy,24/10/1984,Newcastle United,21,1.78,14
Holloway,Brazil,26/01/2003,Arsenal,21,3.18,13
Acosta,Uruguay,06/10/1984,Liverpool,21,3.26,13
Thompson,Brazil,12/10/1987,Manchester United,21,4.88,9
Bell,Sweden,06/05/1997,West Ham United,21,2.77,6
Ellis,Italy,17/05/2004,Everton,21,1.26,12
Griffith,Denmark,21/04/1987,Chelsea,21,3.72,15
Rodriguez,Brazil,27/09/1985,West Ham United,21,3.93,4
Rich,Sweden,24/07/1997,Everton,21,1.73,8
Hamilton,Germany,12/10/2005,Leicester City,21,4.18,13
Singleton,Uruguay,19/12/1984,West Ham United,21,2.81,2
Moore,Spain,30/08/1987,Leicester City,21,2.76,0
Smith,Sweden,17/05/2006,Manchester City,21,2.33,7
Lopez,England,18/04/1996,Tottenham Hotspur,21,0.63,2
Harrison,Spain,02/11/2006,Liverpool,21,3.34,15
Garcia,Denmark,22/04/1990,Everton,21,1.69,5
Smith,Spain,29/10/1995,Manchester United,21,3.18,13
Thomas,Netherlands,21/09/1996,Aston Villa,21,3.22,11
Reed,Denmark,08/01/1988,Newcastle United,21,4.54,7
Gonzalez,Sweden,28/03/1993,Everton,21,0.97,9
Smith,Denmark,26/10/2005,Chelsea,21,4.66,8
Haney,Italy,20/08/1990,Manchester City,21,3.69,5
Allen,Uruguay,29/05/2005,Leeds United,21,4.47,4
Grant,Scotland,27/05/1986,Leicester City,21,0.71,7
Nelson,Portugal,20/07/1984,Manchester City,21,2.7,12
Pacheco,Netherlands,30/12/1993,Liverpool,21,2.36,8
Crane,Belgium,31/12/1999,Leicester City,21,0.91,10
Hendrix,Denmark,06/05/1991,Leicester City,21,2.63,15
Bauer,Portugal,03/03/1998,Manchester United,21,3.28,8
Simmons,France,17/08/1990,Arsenal,21,2.01,2
Martinez,Denmark,29/10/1994,Liverpool,21,2.56,7
Lee,Uruguay,03/09/1996,Manchester City,21,1.27,15
Bell,England,06/10/1997,Chelsea,21,4.61,14
Griffin,Spain,25/02/1988,Aston Villa,21,2.69,15
Crawford,Germany,05/11/1995,Tottenham Hotspur,21,4.32,1
Smith,Scotland,11/04/1995,Everton,21,3.12,7
Kaiser,Italy,20/12/1989,Liverpool,21,3.58,14
Grimes,Denmark,28/01/2006,Leeds United,21,3.48,15
Snyder,Portugal,13/03/2000,Arsenal,21,3.8,14
Wyatt,Sweden,10/12/1985,Everton,21,3.37,1
Wilson,Argentina,19/03/1995,Chelsea,21,2.3,6
Butler,Italy,20/06/1997,Manchester United,21,0.76,14
Boyle,Germany,17/12/2003,Aston Villa,21,1.84,4
Skinner,France,21/03/1988,Newcastle United,21,4.12,12
Brown,Denmark,03/11/2000,West Ham United,21,1.82,7
Mitchell,Netherlands,08/06/1984,Manchester United,21,3.1,10
Foster,Brazil,20/11/1987,Aston Villa,21,4.94,4
Ballard,Italy,07/03/2006,Liverpool,21,4.4,12
Spencer,Spain,11/11/2001,Aston Villa,21,4.69,1
Reynolds,Italy,07/09/1986,Manchester City,21,1.58,11
Fisher,Portugal,16/07/2006,Liverpool,21,4.81,0
Coleman,England,11/12/1992,Liverpool,21,4.22,14
Ortega,Germany,26/09/1997,Aston Villa,21,1.67,3
Fox,Belgium,01/09/2005,West Ham United,21,4.12,4
Wilson,Uruguay,12/08/1997,West Ham United,21,2.71,0
Fowler,Italy,29/11/2003,West Ham United,21,1.14,8
Gonzalez,Uruguay,06/11/1997,Manchester City,21,4.92,10
Morton,France,27/07/2001,Arsenal,21,1.95,14
Marsh,Scotland,17/10/1991,Leicester City,21,3.99,3
Richards,France,17/11/1984,Newcastle United,21,1.05,0
Davis,Sweden,14/05/1995,Everton,21,1.26,11
Ward,Portugal,20/06/2000,Everton,21,3.27,1
Yang,Belgium,16/01/1991,Everton,21,1.48,1
Johnson,Scotland,24/09/1987,Liverpool,21,3.79,13
Turner,Argentina,02/12/2001,Manchester United,21,1.26,13
West,Scotland,02/05/2005,West Ham United,21,1.9,14
Curtis,Argentina,12/03/1993,Manchester City,21,3.29,15
Kemp,Belgium,08/08/1991,Newcastle United,21,2.84,4
Stevenson,Belgium,10/03/1992,West Ham United,21,1.4,1
Schneider,Belgium,19/06/1992,Liverpool,21,1.1,7
Mejia,Uruguay,09/09/2002,Leeds United,21,0.88,10
Johnson,Italy,16/12/2000,Manchester United,21,4.72,7
Boyd,Netherlands,15/09/1993,Leeds United,21,1.93,13
Jones,Belgium,06/02/1992,Aston Villa,21,3.59,1
Castillo,Sweden,15/07/2003,Manchester City,21,0.69,1
Marks,Scotland,16/04/1994,Manchester United,21,4.39,13
Norris,Scotland,06/11/2001,Arsenal,21,3.54,0
Franklin,Netherlands,17/04/2006,Everton,21,2.44,3
Malone,Argentina,10/03/2003,Arsenal,21,2.38,8
Robertson,Germany,18/09/1985,Liverpool,21,3.78,2
Henry,Germany,30/04/1994,Arsenal,21,3.99,13
Carter,Germany,17/10/1992,Aston Villa,21,3.55,10
Jenkins,Germany,04/03/1987,Chelsea,21,2.23,9
Ramirez,Belgium,01/12/1997,Everton,21,1.86,10
Freeman,Brazil,07/09/1997,Manchester City,21,0.57,5
Huffman,Germany,16/12/1992,West Ham United,21,3.91,15
Medina,Scotland,19/02/1988,Chelsea,21,2.57,14
Mcintosh,Germany,07/11/1991,Liverpool,21,4.7,7
Richard,France,14/12/1988,Arsenal,21,2.42,1
Walker,Netherlands,03/10/1997,Aston Villa,21,4.67,1
Vasquez,Argentina,05/06/1993,Leeds United,21,2.09,13
Wolfe,Netherlands,14/06/2001,Newcastle United,21,3.14,12
Bowman,England,22/11/1993,Newcastle United,21,4.86,15
Randall,Netherlands,22/06/1994,West Ham United,21,2.94,10
Simmons,Denmark,23/04/1992,Tottenham Hotspur,21,0.88,12
Mann,Argentina,26/11/2004,Everton,21,2.35,8
Rogers,Germany,13/03/2001,Newcastle United,21,0.87,3
Duncan,Denmark,27/06/1989,Leeds United,21,3.93,2
Pruitt,Portugal,02/06/1985,Liverpool,21,3.89,8
Levy,Belgium,27/08/1987,Tottenham Hotspur,21,4.63,10
Rogers,Brazil,16/06/1992,Chelsea,21,1.33,14
Farrell,Portugal,05/12/1987,Aston Villa,21,2.27,13
Johnson,Belgium,21/08/2005,Everton,21,1.25,15
Horton,Portugal,31/10/1987,Leicester City,21,2.85,3
Hawkins,Italy,13/05/1990,Liverpool,21,3.19,7
Paul,France,16/02/2000,Leeds United,21,4.9,2
Bailey,Sweden,21/12/1992,Leicester City,21,3.3,15
Padilla,France,30/03/1987,Manchester United,21,4.18,2
Foster,France,23/09/1996,Everton,21,1.77,2
Hansen,Germany,22/06/1988,Aston Villa,21,4.95,14
Nichols,Argentina,14/11/1997,Newcastle United,21,0.84,8
Buchanan,Belgium,28/10/1995,Newcastle United,21,3.76,8
Wilson,Netherlands,07/03/1999,Everton,21,1.08,6
Mcgrath,Brazil,04/02/1985,Newcastle United,21,2.14,9
Fuller,England,26/08/1996,Leeds United,21,3.19,2
Wang,England,31/07/2005,Aston Villa,21,1.8,0
Martinez,France,05/09/2005,Manchester United,21,1.68,6
Rhodes,Uruguay,24/06/1991,Chelsea,21,1.71,6
Wiggins,Netherlands,28/03/1992,Leicester City,21,0.87,6
Reeves,Germany,07/12/2004,Manchester United,21,3.67,10
Carney,Argentina,17/11/1987,Arsenal,21,0.94,3
Mitchell,Belgium,05/02/1997,Leicester City,21,1.85,11
Carter,Sweden,06/09/1984,Arsenal,21,4.67,3
Bell,Portugal,13/01/1997,Arsenal,21,2.34,9
Mcmillan,Denmark,12/03/1990,Leicester City,21,3.53,13
Farmer,Brazil,10/08/1987,Leeds United,21,2.56,11
Gamble,Scotland,02/03/2002,Chelsea,21,1.72,2
Frederick,Denmark,15/05/1988,Arsenal,21,3.44,15
Stokes,Belgium,27/01/1989,Leicester City,21,2,8
Maxwell,England,26/12/1994,Manchester United,21,0.98,14
Robinson,Argentina,26/09/1993,Aston Villa,21,2.96,8
Ritter,Argentina,17/11/2002,Newcastle United,21,0.78,3
Escobar,Brazil,24/06/1992,Leicester City,21,3.46,4
Martin,Uruguay,04/06/2006,Aston Villa,21,0.62,14
Paul,Brazil,07/12/1984,Leeds United,21,2.61,11
Shields,Argentina,23/10/1984,Everton,21,4.87,4
Rodriguez,England,14/12/2002,Manchester City,21,2,8
Thomas,Spain,29/11/1993,Everton,21,1.06,6
Thomas,Portugal,08/07/1993,Manchester City,21,3.34,13
Nelson,Germany,29/09/1988,Liverpool,21,3.06,3
Carr,Brazil,05/11/1993,Leeds United,21,2.66,2
Jones,Germany,01/10/1992,Leeds United,21,3.69,15
Wiggins,England,07/11/1995,Manchester United,21,2.42,7
Parsons,Portugal,06/04/1992,Manchester United,21,4.92,14
Pittman,Uruguay,07/09/1990,Everton,21,1.22,15
Turner,Italy,18/12/1993,Manchester United,21,3.64,13
Bell,Belgium,24/10/2003,Manchester United,21,3.76,15
King,Belgium,03/12/2000,Chelsea,21,3.71,7
Smith,France,11/02/1991,West Ham United,21,2.38,4
Espinoza,Sweden,29/06/1991,Manchester City,21,3.32,9
Morales,Spain,05/01/1993,Tottenham Hotspur,21,4.21,2
James,Uruguay,04/08/1994,Liverpool,21,4.63,7
Douglas,Portugal,16/09/1990,Arsenal,21,3.11,6
Allen,England,09/06/1991,Everton,21,1.39,14
Lopez,Denmark,13/03/1984,Arsenal,21,3.2,11
Clark,France,04/11/1997,Aston Villa,21,1.98,13
Russell,Belgium,02/01/1992,Manchester United,21,1.78,5
Ho,Germany,28/03/2005,Liverpool,21,2.71,6
Sheppard,Argentina,06/02/1997,Leeds United,21,3.25,7
